ID,구    분,6:00,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,
1,B113(41),,,,,,,,,,,,,,,,,,,,,"LAU 교수님 세미나 및 강의(박김용,권예지)","LAU 교수님 세미나 및 강의(박김용,권예지)","LAU 교수님 세미나 및 강의(박김용,권예지)","LAU 교수님 세미나 및 강의(박김용,권예지)","LAU 교수님 세미나 및 강의(박김용,권예지)","LAU 교수님 세미나 및 강의(박김용,권예지)",,,,,
2,전103(90),,,,,경영프로그래밍(최윤섭),경영프로그래밍(최윤섭),경영프로그래밍(최윤섭),,,,,,,,,,,,,Research Methodology & Statistics(오혜영),Research Methodology & Statistics(오혜영),Research Methodology & Statistics(오혜영),Research Methodology & Statistics(오혜영),,,,,,,,물세척
3,강111 (210),,후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],후마니타스칼리지 글쓰기의 날[업무연락],,,,,,,,,,,,
4,"151호
(대연회장)",입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,입학처,
5,153(56),,,,,공급사슬관리(LAU KA WING),공급사슬관리(LAU KA WING),공급사슬관리(LAU KA WING),,,,,,,비즈니스애널리틱스(박재홍),비즈니스애널리틱스(박재홍),비즈니스애널리틱스(박재홍),비즈니스애널리틱스(박재홍),비즈니스애널리틱스(박재홍),비즈니스애널리틱스(박재홍),실버산업경영(Nishiyama China),실버산업경영(Nishiyama China),실버산업경영(Nishiyama China),실버산업경영(Nishiyama China),Business Writing with Advanced Leadership Communication(오현종),Business Writing with Advanced Leadership Communication(오현종),Business Writing with Advanced Leadership Communication(오현종),Business Writing with Advanced Leadership Communication(오현종),,,,물백묵
6,154(56),,,,,,,,,,,,,,,,,,,,경영전략론(이재원A),경영전략론(이재원A),경영전략론(이재원A),경영전략론(이재원A),의료법과분쟁사례(오경록),의료법과분쟁사례(오경록),의료법과분쟁사례(오경록),의료법과분쟁사례(오경록),,,,물백묵
7,"251(40)
촬영강의실",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDP
8,"252(30)
(임시)",,,,,,,,,,,빅데이터통계학(X),빅데이터통계학(X),빅데이터통계학(X),,,,,,,유학생회,유학생회,유학생회,유학생회,유학생회,유학생회,유학생회,유학생회,,,,PDP
9,"253(60)
촬영강의실",,,,,,,,,,,빅데이터통계학(X),빅데이터통계학(X),빅데이터통계학(X),,,,,,,유학생회,유학생회,유학생회,유학생회,유학생회,유학생회,유학생회,유학생회,,,,PDP
10,254(25),,빅데이터기반경영전략(X),빅데이터기반경영전략(X),빅데이터기반경영전략(X),,,,,,,,,,전략적인적자원관리(박우성),전략적인적자원관리(박우성),전략적인적자원관리(박우성),전략적인적자원관리(박우성),전략적인적자원관리(박우성),전략적인적자원관리(박우성),마케팅애널리틱스(정선호),마케팅애널리틱스(정선호),마케팅애널리틱스(정선호),마케팅애널리틱스(정선호),마케팅애널리틱스(정선호),마케팅애널리틱스(정선호),,,,,,물세척
11,255(20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,물세척
